ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
000001.SZ,20250425,11.01,11.04,11.05,10.99,11.03,-0.02,-0.1813,637546.86,702315.26,127.7841,1410.73646,11.04,1406.90294,11.01,1412.01431,11.05,1404.34726,10.99,1409.45862,11.03,-0.098,-0.12,0.044,50.365,57.961,35.175,45.944,43.379,43.554,11.422,11.046,10.671,46.059
000001.SZ,20250424,11.03,11.0,11.06,10.99,11.01,0.02,0.1817,689256.13,760348.56,127.7841,1405.6251,11.0,1409.45862,11.03,1413.29215,11.06,1404.34726,10.99,1406.90294,11.01,-0.103,-0.125,0.045,56.583,61.759,46.231,48.802,44.418,44.014,11.469,11.066,10.662,59.791
000001.SZ,20250423,11.01,11.04,11.05,10.97,11.04,-0.03,-0.2717,586382.93,645842.4,127.7841,1410.73646,11.04,1406.90294,11.01,1412.01431,11.05,1401.79158,10.97,1410.73646,11.04,-0.11,-0.131,0.043,62.46,64.346,58.688,46.003,43.171,43.441,11.508,11.083,10.658,26.833
000001.SZ,20250422,11.04,11.02,11.06,10.98,11.02,0.02,0.1815,831128.87,915967.68,127.7841,1408.18078,11.02,1410.73646,11.04,1413.29215,11.06,1403.06942,10.98,1408.18078,11.02,-0.115,-0.136,0.043,68.69,65.29,75.492,49.378,44.545,44.09,11.554,11.104,10.654,18.513
000001.SZ,20250421,11.02,11.0,11.13,10.97,11.18,-0.16,-1.4311,1114184.18,1230804.54,127.7841,1405.6251,11.0,1408.18078,11.02,1422.23703,11.13,1401.79158,10.97,1428.62624,11.18,-0.123,-0.142,0.038,73.306,63.589,92.739,47.227,43.445,43.551,11.585,11.121,10.657,14.788
000001.SZ,20250418,11.18,11.04,11.19,11.03,11.06,0.12,1.085,727098.15,810031.61,127.7841,1410.73646,11.04,1428.62624,11.18,1429.90408,11.19,1409.45862,11.03,1413.29215,11.06,-0.129,-0.146,0.034,75.996,58.731,110.527,65.889,50.839,47.023,11.62,11.141,10.662,40.568
000001.SZ,20250417,11.06,10.95,11.08,10.93,11.0,0.06,0.5455,823919.31,907597.51,127.7841,1399.2359,10.95,1413.29215,11.06,1415.84783,11.08,1396.68021,10.93,1405.6251,11.0,-0.152,-0.151,-0.003,64.938,50.098,94.617,54.701,44.324,43.803,11.659,11.157,10.654,-5.337
000001.SZ,20250416,11.0,10.93,11.01,10.91,10.95,0.05,0.4566,842822.17,923316.06,127.7841,1396.68021,10.93,1405.6251,11.0,1406.90294,11.01,1394.12453,10.91,1399.2359,10.95,-0.167,-0.15,-0.032,49.074,42.678,61.864,47.532,40.724,42.118,11.704,11.18,10.655,-26.718
000001.SZ,20250415,10.95,10.92,10.97,10.9,10.93,0.02,0.183,722754.1,790139.08,127.7841,1395.40237,10.92,1399.2359,10.95,1401.79158,10.97,1392.84669,10.9,1396.68021,10.93,-0.176,-0.146,-0.06,45.039,39.481,56.155,41.052,37.643,40.697,11.738,11.204,10.67,-42.037
000001.SZ,20250414,10.93,10.95,11.04,10.92,10.89,0.04,0.3673,785993.45,862557.14,127.7841,1399.2359,10.95,1396.68021,10.93,1410.73646,11.04,1395.40237,10.92,1391.56885,10.89,-0.181,-0.139,-0.085,42.29,36.702,53.466,38.522,36.432,40.134,11.767,11.232,10.696,-43.613
000001.SZ,20250411,10.89,10.87,10.9,10.83,10.9,-0.01,-0.0917,583879.02,634311.78,127.7841,1389.01317,10.87,1391.56885,10.89,1392.84669,10.9,1383.9018,10.83,1392.84669,10.9,-0.183,-0.128,-0.11,39.241,33.908,49.907,33.784,34.085,39.024,11.89,11.284,10.677,-75.951
000001.SZ,20250410,10.9,10.86,10.93,10.82,10.8,0.1,0.9259,866548.05,943352.3,127.7841,1387.73533,10.86,1392.84669,10.9,1396.68021,10.93,1382.62396,10.82,1380.06828,10.8,-0.179,-0.114,-0.128,36.819,31.241,47.973,34.335,34.376,39.198,11.955,11.331,10.707,-90.446
000001.SZ,20250409,10.8,10.73,10.83,10.66,10.82,-0.02,-0.1848,1064394.05,1145238.96,127.7841,1371.12339,10.73,1380.06828,10.8,1383.9018,10.83,1362.17851,10.66,1382.62396,10.82,-0.171,-0.098,-0.146,32.647,28.453,41.036,24.001,28.806,36.482,12.008,11.378,10.749,-154.842
000001.SZ,20250408,10.82,10.68,10.85,10.66,10.7,0.12,1.1215,1463987.71,1576590.04,127.7841,1364.73419,10.68,1382.62396,10.82,1386.45749,10.85,1362.17851,10.66,1367.28987,10.7,-0.149,-0.08,-0.138,31.766,26.355,42.589,24.647,29.261,36.797,11.997,11.419,10.841,-218.95
000001.SZ,20250407,10.7,11.0,11.05,10.48,11.34,-0.64,-5.6437,2545560.48,2751055.41,127.7841,1405.6251,11.0,1367.28987,10.7,1412.01431,11.05,1339.17737,10.48,1449.07169,11.34,-0.121,-0.063,-0.116,29.755,23.65,41.965,12.919,22.526,33.494,11.97,11.458,10.945,-373.275
000001.SZ,20250403,11.34,11.31,11.39,11.3,11.37,-0.03,-0.2639,643913.91,730375.81,127.7841,1445.23817,11.31,1449.07169,11.34,1455.4609,11.39,1443.96033,11.3,1452.90522,11.37,-0.071,-0.048,-0.044,33.053,20.597,57.966,41.91,42.142,45.699,11.89,11.506,11.122,-61.825
000001.SZ,20250402,11.37,11.25,11.41,11.25,11.27,0.1,0.8873,932641.76,1058747.24,127.7841,1437.57113,11.25,1452.90522,11.37,1458.01658,11.41,1437.57113,11.25,1440.12681,11.27,-0.071,-0.043,-0.056,22.307,14.369,38.184,45.937,43.781,46.459,11.9,11.52,11.141,-65.001
000001.SZ,20250401,11.27,11.27,11.3,11.22,11.26,0.01,0.0888,681470.42,767424.13,127.7841,1440.12681,11.27,1440.12681,11.27,1443.96033,11.3,1433.7376,11.22,1438.84897,11.26,-0.073,-0.036,-0.074,8.461,10.4,4.584,26.256,36.203,43.453,11.912,11.535,11.158,-109.943
000001.SZ,20250331,11.26,11.36,11.38,11.26,11.35,-0.09,-0.793,1116125.64,1262598.26,127.7841,1451.62738,11.36,1438.84897,11.26,1454.18306,11.38,1438.84897,11.26,1450.34954,11.35,-0.065,-0.027,-0.076,6.281,11.369,-3.894,23.949,35.405,43.147,11.905,11.547,11.189,-102.682
